device,elapsed_seconds,ipc_mean,kernel_ref,postprocess_error,quality_json,repetition,success,target_windows_per_repetition,windows_achieved
gpu,7.335213731043041,,rodinia_hotspot,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 2204, ""pmu_degraded"": 590, ""intensity_undefined"": 4123, ""gpu_telemetry"": 1239}",4,True,5,1239
gpu,7.335936122573912,,rodinia_hotspot,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 2204, ""pmu_degraded"": 589, ""intensity_undefined"": 4113, ""gpu_telemetry"": 1236}",5,True,5,1236
gpu,7.33719892706722,,rodinia_hotspot,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 2204, ""pmu_degraded"": 590, ""intensity_undefined"": 4116, ""gpu_telemetry"": 1232}",6,True,5,1232
gpu,7.385040119290352,,rodinia_hotspot,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 2204, ""pmu_degraded"": 589, ""intensity_undefined"": 4127, ""gpu_telemetry"": 1256}",7,True,5,1256
gpu,7.3356885416433215,,rodinia_hotspot,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 2203, ""pmu_degraded"": 586, ""intensity_undefined"": 4117, ""gpu_telemetry"": 1238}",8,True,5,1238
gpu,7.335062935017049,,rodinia_hotspot,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 2204, ""pmu_degraded"": 592, ""intensity_undefined"": 4112, ""gpu_telemetry"": 1239}",9,True,5,1239
gpu,7.336302798241377,,rodinia_hotspot,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 2204, ""pmu_degraded"": 583, ""intensity_undefined"": 4111, ""gpu_telemetry"": 1235}",10,True,5,1235
gpu,1.2727289348840714,,rodinia_backprop,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 825, ""pmu_degraded"": 14, ""gpu_telemetry"": 146}",1,True,5,146
gpu,1.2708013318479061,,rodinia_backprop,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 832, ""pmu_degraded"": 15, ""gpu_telemetry"": 152}",2,True,5,152
gpu,1.2720061717554927,,rodinia_backprop,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 819, ""pmu_degraded"": 15, ""gpu_telemetry"": 148}",3,True,5,148
gpu,1.2705095820128918,,rodinia_backprop,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 823, ""pmu_degraded"": 15, ""gpu_telemetry"": 145}",4,True,5,145
gpu,1.2715027909725904,,rodinia_backprop,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 815, ""pmu_degraded"": 15, ""gpu_telemetry"": 149}",5,True,5,149
