ipc_cv_pct,ipc_mean,kernel_ref,n_gpu_telemetry,n_windows_ok,n_windows_total,quality_json,repetition,run_dir
22.03380077132845,1.81688569490616,npb_lu,,16361,17362,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 1000, ""ok"": 16361}",9,/home/latorresn/hyperion-results/sweeps/repetitions/runs/sweep_repetitions__npb_lu__REF__rep09
21.99273592854277,1.8221408769911482,npb_lu,,16377,17378,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 1000, ""ok"": 16377}",10,/home/latorresn/hyperion-results/sweeps/repetitions/runs/sweep_repetitions__npb_lu__REF__rep10
23.20673387145887,1.7139975112756682,npb_mg,,629,930,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 300, ""ok"": 629}",1,/home/latorresn/hyperion-results/sweeps/repetitions/runs/sweep_repetitions__npb_mg__REF__rep01
23.251815093317386,1.6991571611254483,npb_mg,,637,938,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 300, ""ok"": 637}",2,/home/latorresn/hyperion-results/sweeps/repetitions/runs/sweep_repetitions__npb_mg__REF__rep02
22.520797413762125,1.6990194628160438,npb_mg,,637,938,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 300, ""ok"": 637}",3,/home/latorresn/hyperion-results/sweeps/repetitions/runs/sweep_repetitions__npb_mg__REF__rep03
22.987171881526322,1.7012798114362588,npb_mg,,636,937,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 300, ""ok"": 636}",4,/home/latorresn/hyperion-results/sweeps/repetitions/runs/sweep_repetitions__npb_mg__REF__rep04
22.6442851972463,1.7089789847053418,npb_mg,,631,932,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 300, ""ok"": 631}",5,/home/latorresn/hyperion-results/sweeps/repetitions/runs/sweep_repetitions__npb_mg__REF__rep05
22.961075378242693,1.7088436109547962,npb_mg,,631,932,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 300, ""ok"": 631}",6,/home/latorresn/hyperion-results/sweeps/repetitions/runs/sweep_repetitions__npb_mg__REF__rep06
23.364083382646225,1.6987887870932477,npb_mg,,638,939,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 300, ""ok"": 638}",7,/home/latorresn/hyperion-results/sweeps/repetitions/runs/sweep_repetitions__npb_mg__REF__rep07
23.285085188162043,1.6964073522112901,npb_mg,,640,941,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 300, ""ok"": 640}",8,/home/latorresn/hyperion-results/sweeps/repetitions/runs/sweep_repetitions__npb_mg__REF__rep08
23.812792137101635,1.6650301738197768,npb_mg,,655,956,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 300, ""ok"": 655}",9,/home/latorresn/hyperion-results/sweeps/repetitions/runs/sweep_repetitions__npb_mg__REF__rep09
22.40363351076228,1.698421489068996,npb_mg,,637,938,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 300, ""ok"": 637}",10,/home/latorresn/hyperion-results/sweeps/repetitions/runs/sweep_repetitions__npb_mg__REF__rep10
40.86734980297429,1.7597232621576167,npb_sp,,16818,17319,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 500, ""ok"": 16818}",1,/home/latorresn/hyperion-results/sweeps/repetitions/runs/sweep_repetitions__npb_sp__REF__rep01
40.56212538163759,1.7789987333017627,npb_sp,,16626,17127,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 500, ""ok"": 16626}",2,/home/latorresn/hyperion-results/sweeps/repetitions/runs/sweep_repetitions__npb_sp__REF__rep02
41.06885534789394,1.7634639452443652,npb_sp,,16784,17285,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 500, ""ok"": 16784}",3,/home/latorresn/hyperion-results/sweeps/repetitions/runs/sweep_repetitions__npb_sp__REF__rep03
40.75420237558685,1.7737110812057935,npb_sp,,16676,17177,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 500, ""ok"": 16676}",4,/home/latorresn/hyperion-results/sweeps/repetitions/runs/sweep_repetitions__npb_sp__REF__rep04
41.04416221754715,1.7576702540475249,npb_sp,,16837,17338,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 500, ""ok"": 16837}",5,/home/latorresn/hyperion-results/sweeps/repetitions/runs/sweep_repetitions__npb_sp__REF__rep05
40.151232910677074,1.781257176055211,npb_sp,,16601,17102,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 500, ""ok"": 16601}",6,/home/latorresn/hyperion-results/sweeps/repetitions/runs/sweep_repetitions__npb_sp__REF__rep06
41.39076308544656,1.7516769036317599,npb_sp,,16893,17394,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 500, ""ok"": 16893}",7,/home/latorresn/hyperion-results/sweeps/repetitions/runs/sweep_repetitions__npb_sp__REF__rep07
40.97528035301439,1.7633471001155752,npb_sp,,16781,17282,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 500, ""ok"": 16781}",8,/home/latorresn/hyperion-results/sweeps/repetitions/runs/sweep_repetitions__npb_sp__REF__rep08
41.04913766915993,1.762658593590172,npb_sp,,16784,17285,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 500, ""ok"": 16784}",9,/home/latorresn/hyperion-results/sweeps/repetitions/runs/sweep_repetitions__npb_sp__REF__rep09
40.790343022897645,1.7620765961599127,npb_sp,,16787,17288,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 500, ""ok"": 16787}",10,/home/latorresn/hyperion-results/sweeps/repetitions/runs/sweep_repetitions__npb_sp__REF__rep10
,,rodinia_backprop,146,,986,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 825, ""pmu_degraded"": 14, ""gpu_telemetry"": 146}",1,/home/latorresn/hyperion-results/sweeps/repetitions/runs/sweep_repetitions__rodinia_backprop__REF__rep01
,,rodinia_backprop,152,,1000,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 832, ""pmu_degraded"": 15, ""gpu_telemetry"": 152}",2,/home/latorresn/hyperion-results/sweeps/repetitions/runs/sweep_repetitions__rodinia_backprop__REF__rep02
,,rodinia_backprop,148,,983,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 819, ""pmu_degraded"": 15, ""gpu_telemetry"": 148}",3,/home/latorresn/hyperion-results/sweeps/repetitions/runs/sweep_repetitions__rodinia_backprop__REF__rep03
,,rodinia_backprop,145,,984,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 823, ""pmu_degraded"": 15, ""gpu_telemetry"": 145}",4,/home/latorresn/hyperion-results/sweeps/repetitions/runs/sweep_repetitions__rodinia_backprop__REF__rep04
,,rodinia_backprop,149,,980,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 815, ""pmu_degraded"": 15, ""gpu_telemetry"": 149}",5,/home/latorresn/hyperion-results/sweeps/repetitions/runs/sweep_repetitions__rodinia_backprop__REF__rep05
,,rodinia_backprop,151,,990,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 823, ""pmu_degraded"": 15, ""gpu_telemetry"": 151}",6,/home/latorresn/hyperion-results/sweeps/repetitions/runs/sweep_repetitions__rodinia_backprop__REF__rep06
,,rodinia_backprop,152,,994,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 827, ""pmu_degraded"": 14, ""gpu_telemetry"": 152}",7,/home/latorresn/hyperion-results/sweeps/repetitions/runs/sweep_repetitions__rodinia_backprop__REF__rep07
,,rodinia_backprop,149,,981,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 816, ""pmu_degraded"": 15, ""gpu_telemetry"": 149}",8,/home/latorresn/hyperion-results/sweeps/repetitions/runs/sweep_repetitions__rodinia_backprop__REF__rep08
,,rodinia_backprop,140,,972,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 817, ""pmu_degraded"": 14, ""gpu_telemetry"": 140}",9,/home/latorresn/hyperion-results/sweeps/repetitions/runs/sweep_repetitions__rodinia_backprop__REF__rep09
,,rodinia_backprop,148,,979,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 815, ""pmu_degraded"": 15, ""gpu_telemetry"": 148}",10,/home/latorresn/hyperion-results/sweeps/repetitions/runs/sweep_repetitions__rodinia_backprop__REF__rep10
,,rodinia_dwt2d,372,,2457,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 945, ""pmu_degraded"": 115, ""intensity_undefined"": 1024, ""gpu_telemetry"": 372}",1,/home/latorresn/hyperion-results/sweeps/repetitions/runs/sweep_repetitions__rodinia_dwt2d__REF__rep01
,,rodinia_dwt2d,377,,2475,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 943, ""pmu_degraded"": 128, ""intensity_undefined"": 1026, ""gpu_telemetry"": 377}",2,/home/latorresn/hyperion-results/sweeps/repetitions/runs/sweep_repetitions__rodinia_dwt2d__REF__rep02
,,rodinia_dwt2d,381,,2485,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 950, ""pmu_degraded"": 120, ""intensity_undefined"": 1033, ""gpu_telemetry"": 381}",3,/home/latorresn/hyperion-results/sweeps/repetitions/runs/sweep_repetitions__rodinia_dwt2d__REF__rep03
,,rodinia_dwt2d,372,,2454,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 958, ""pmu_degraded"": 111, ""intensity_undefined"": 1012, ""gpu_telemetry"": 372}",4,/home/latorresn/hyperion-results/sweeps/repetitions/runs/sweep_repetitions__rodinia_dwt2d__REF__rep04
,,rodinia_dwt2d,366,,2476,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 944, ""pmu_degraded"": 127, ""intensity_undefined"": 1038, ""gpu_telemetry"": 366}",5,/home/latorresn/hyperion-results/sweeps/repetitions/runs/sweep_repetitions__rodinia_dwt2d__REF__rep05
,,rodinia_dwt2d,379,,2504,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 939, ""pmu_degraded"": 132, ""intensity_undefined"": 1053, ""gpu_telemetry"": 379}",6,/home/latorresn/hyperion-results/sweeps/repetitions/runs/sweep_repetitions__rodinia_dwt2d__REF__rep06
