kernel_ref,freq_level_id,phase_label_train,operational_intensity_uncore_real,performance_flops_per_s
cpu_rajaperf_apps_edge3d,F8,compute_bound,150.45009639076474,8119605130.584388
cpu_rajaperf_apps_edge3d,F8,compute_bound,150.56980298913044,8251942384.105043
npb_lu,F8,compute_bound,4.792305117305166,5876778109.665963
rajaperf_polybench_3mm_omp,F8,compute_bound,46.64648813824663,2382917278.963667
rajaperf_polybench_3mm_omp,F8,compute_bound,35.194697841867,2264167816.1998105
cpu_rajaperf_apps_edge3d,F8,compute_bound,170.33310835704847,8250102820.461206
npb_sp,F8,compute_bound,3.573740434326784,15341781463.11691
dual_cholesky_cpu_N256,F8,compute_bound,87.39173080941767,3658585021.8505955
rajaperf_polybench_3mm_omp,F8,compute_bound,49.811641677810925,2336177880.529018
rajaperf_polybench_3mm_omp,F8,compute_bound,52.56132835932814,2537343604.7828727
phasic_p100,F8,compute_bound,1153.2698140370626,32788617658.495285
cpu_rajaperf_apps_edge3d,F8,compute_bound,123.55218971206313,8447653611.323013
phasic_p100,F8,compute_bound,22.61828333526154,76199246885.76183
cpu_cholmod,F8,compute_bound,26.425049254735445,121841820026.53925
rodinia_lavamd_omp,F8,compute_bound,102.14225643655608,4147525515.1179557
npb_bt,F8,compute_bound,8.030217435055537,6542857787.717845
cpu_cholmod,F8,compute_bound,67.20485371087237,45673095673.31829
cpu_rajaperf_basic_trap_int,F8,compute_bound,124.14215144022212,3522229673.7301116
dual_spmv_cpu_N100000,F8,compute_bound,105.12913390026824,4270601242.6288223
phasic_p010,F8,compute_bound,32.837267901822344,31980540349.063656
npb_bt,F8,compute_bound,6.17184475612277,6462052395.20866
cpu_cholmod,F8,compute_bound,6.024000122684333,7665579332.300897
npb_lu,F8,compute_bound,4.954772977189035,5962320339.315817
dual_gemm_cpu_N2048,F8,compute_bound,26.32385496887616,122719704989.39241
npb_lu,F8,compute_bound,5.165496735968551,5975829449.70858
cpu_rajaperf_basic_trap_int,F8,compute_bound,104.53807755925548,3538619173.4760466
rajaperf_polybench_3mm_omp,F8,compute_bound,45.63822845593046,2401414346.116588
dgemm_n2048,F8,compute_bound,18.6605483199812,118296808199.69505
hpccg_cpu_N46,F8,compute_bound,8.129628674270963,3617958519.08556
dgemm_n2048,F8,compute_bound,25.930891700484747,124804084453.06027
cpu_rajaperf_basic_mat_mat_shared,F8,compute_bound,65.42420253430679,8808610468.68818
cpu_rajaperf_apps_edge3d,F8,compute_bound,183.76938841142984,8264379556.327386
rodinia_lavamd_omp,F8,compute_bound,96.2955239793065,4239126708.2050934
cpu_rajaperf_basic_mat_mat_shared,F8,compute_bound,76.98753798109385,8593188587.614443
npb_bt,F8,compute_bound,7.947488047793672,6457956556.420435
rodinia_lavamd_omp,F8,compute_bound,97.34873380572527,4237206594.7173004
cpu_cholmod,F8,compute_bound,9.366877460168132,28727136879.14441
cpu_rajaperf_basic_trap_int,F8,compute_bound,115.19673352666344,3511602444.6490073
npb_bt,F8,compute_bound,8.93657026993935,6701195375.398844
rodinia_lavamd_omp,F8,compute_bound,102.67074023390764,4320556076.046769
phasic_p1000,F8,compute_bound,197.1540568588496,55411697123.3994
rajaperf_polybench_3mm_omp,F8,compute_bound,42.14169718477228,2404837341.757618
dual_fft_cpu_N128,F8,compute_bound,186.2818288153579,4744450876.993621
dual_axpy_cpu_N100000,F8,compute_bound,22.555393788130893,800488958.1888925
cpu_rajaperf_basic_mat_mat_shared,F8,compute_bound,24.20934064370284,3738754210.786442
npb_bt,F8,compute_bound,6.392869694358788,6420426097.795689
