fold,regime,resource_state,k,selected_baseline,selected_baseline_edp_sum_ratio_vs_oracle,selected_direct_name,selected_direct_edp_sum_ratio_vs_oracle,selected_structured_name,selected_structured_edp_sum_ratio_vs_oracle,winner_formulation,winner_edp_sum_ratio_vs_oracle,n,oracle_edp_sum_js,selected_baseline_edp_sum_js,selected_direct_edp_sum_js,selected_structured_edp_sum_js,winner_edp_sum_js,improvement_pct_over_best_baseline,beats_baseline_above_noise_floor
interpolation_fold1,interpolation,gpu_ready,30,operation_crossover_table_train,1.000439630816119,random_forest+probe,1.0723867617970075,elasticnet,1.0,structured,1.0,20,370.31690444601367,370.4797071689379,397.1229459975525,370.31690444601367,370.31690444601367,0.04394376257969013,False
interpolation_fold1,interpolation,gpu_ready,100,operation_crossover_table_train,1.0000600031084037,random_forest+probe,1.074767072934298,elasticnet,1.0,structured,1.0,20,4096.914988709916,4097.160816344103,4403.229330476408,4096.914988709916,4096.914988709916,0.005999950824675526,False
interpolation_fold1,interpolation,gpu_ready,1000,operation_crossover_table_train,1.0001399557249555,random_forest+probe,1.074914626783583,elasticnet,1.0,structured,1.0,20,409018.5217798264,409075.7662635624,439659.9916865349,409018.5217798264,409018.5217798264,0.013993614009155664,False
interpolation_fold1,interpolation,none_ready,1,always_cpu_ref,1.0,random_forest+probe,1.0,elasticnet,1.0,direct,1.0,20,10.262041577135918,10.262041577135918,10.262041577135918,10.262041577135918,10.262041577135918,0.0,False
interpolation_fold1,interpolation,none_ready,2,always_cpu_ref,1.0,random_forest+probe,1.0,elasticnet,1.0,direct,1.0,20,36.39565571757142,36.39565571757142,36.39565571757142,36.39565571757142,36.39565571757142,0.0,False
interpolation_fold1,interpolation,none_ready,3,always_cpu_ref,1.0,random_forest+probe,1.0,elasticnet,1.0,direct,1.0,20,79.01752430745908,79.01752430745908,79.01752430745908,79.01752430745908,79.01752430745908,0.0,False
interpolation_fold1,interpolation,none_ready,5,k_break_even_table_train,1.0,random_forest+probe,1.1543055929175463,elasticnet,1.1543055929175463,direct,1.1543055929175463,20,185.15549621083542,185.15549621083545,213.7260248355909,213.7260248355909,213.7260248355909,-15.43055929175463,False
interpolation_fold1,interpolation,none_ready,10,k_break_even_table_train,1.0,random_forest+probe,2.331375570468698,elasticnet,1.0908480523346524,structured,1.0908480523346524,20,359.891276055815,359.891276055815,839.0417290213335,392.5866975377185,392.5866975377185,-9.084805233465243,False
interpolation_fold1,interpolation,none_ready,30,k_break_even_table_train,1.0,random_forest+probe,1.080366997097827,elasticnet,1.0,structured,1.0,20,1025.1212133088177,1025.1212133088177,1107.5071268837278,1025.1212133088177,1025.1212133088177,0.0,False
interpolation_fold1,interpolation,none_ready,100,k_break_even_table_train,1.005948577510721,random_forest+probe,1.035675967992378,elasticnet,1.0194802439130246,structured,1.0194802439130246,20,6027.258639350081,6063.112254543418,6242.286925649319,6144.671107771505,6144.671107771505,-1.345164823015943,False
interpolation_fold1,interpolation,none_ready,1000,k_break_even_table_train,1.0006265312983158,random_forest+probe,1.0690975047053817,elasticnet,1.0,structured,1.0,20,426667.6277732648,426934.9483960429,456149.296190962,426667.6277732648,426667.6277732648,0.062613900263353,False
interpolation_fold2,interpolation,cpu_ready,1,always_cpu_ref,1.0,random_forest+probe,1.0,elasticnet,1.0,direct,1.0,16,0.3119994340531757,0.3119994340531757,0.3119994340531757,0.3119994340531757,0.3119994340531757,0.0,False
interpolation_fold2,interpolation,cpu_ready,2,always_cpu_ref,1.0,random_forest+probe,1.0,elasticnet,1.0,direct,1.0,16,1.2479977362127028,1.2479977362127028,1.2479977362127028,1.2479977362127028,1.2479977362127028,0.0,False
interpolation_fold2,interpolation,cpu_ready,3,always_cpu_ref,1.0,random_forest+probe,1.0,elasticnet,1.0,direct,1.0,16,2.8079949064785814,2.8079949064785814,2.8079949064785814,2.8079949064785814,2.8079949064785814,0.0,False
interpolation_fold2,interpolation,cpu_ready,5,k_break_even_table_train,1.0,random_forest+probe,1.0,elasticnet,1.0,direct,1.0,16,7.799985851329392,7.799985851329392,7.799985851329392,7.799985851329392,7.799985851329392,0.0,False
interpolation_fold2,interpolation,cpu_ready,10,k_break_even_table_train,1.0,random_forest+probe,1.0,elasticnet,1.0,direct,1.0,16,31.19994340531757,31.19994340531757,31.19994340531757,31.19994340531757,31.19994340531757,0.0,False
interpolation_fold2,interpolation,cpu_ready,30,k_break_even_table_train,1.0606178943040148,random_forest+probe,1.15192716114749,elasticnet,1.0,structured,1.0,16,280.7994906478582,297.82096449257125,323.46056011364846,280.7994906478582,280.7994906478582,5.715337694145983,True
interpolation_fold2,interpolation,cpu_ready,100,k_break_even_table_train,1.0,random_forest+probe,2.0061927676811933,elasticnet,1.5289109090895543,structured,1.5289109090895543,16,1442.2400520358967,1442.2400520358965,2893.4115616545632,2205.056549083569,2205.056549083569,-52.89109090895543,False
interpolation_fold2,interpolation,cpu_ready,1000,k_break_even_table_train,1.0030258627422175,random_forest+probe,2.8909082011510567,elasticnet,1.002365996813536,structured,1.002365996813536,16,95016.74530864038,95304.2529381566,274684.6882594297,95241.5546252732,95241.5546252732,0.0657875288357368,False
