fold,regime,resource_state,k,method,name,with_probe,abstention_rate,startup_mode_cpu_e,startup_mode_cpu_t,startup_mode_gpu_e,startup_mode_gpu_t,n,accuracy,balanced_accuracy,mcc,precision_migrate_gpu,recall_migrate_gpu,tp_gpu,fp_gpu,fn_gpu,tn_cpu,regret_ratio_mean,regret_ratio_median,regret_ratio_p95,regret_ratio_max,oracle_savings_captured_pct,edp_sum_js,edp_sum_ratio_vs_oracle
interpolation_fold0,interpolation,gpu_ready,5,model_structured,huber,False,0.0,per_operation,per_operation,constant,constant,20,0.9,0.8666666666666667,0.7333333333333333,0.9333333333333333,0.9333333333333333,14,1,1,4,1.52336141139595,1.0,1.5700514297477053,11.41535042975039,90.0,2.272018264782419,1.0051099911760921
interpolation_fold0,interpolation,gpu_ready,10,model_structured,huber,False,0.0,per_operation,per_operation,constant,constant,20,0.9,0.8571428571428572,0.7867957924694432,0.8666666666666667,1.0,13,2,0,5,1.5997063942414487,1.0,2.1845426810222555,12.344309788405862,90.0,8.38428547778761,1.0000730877702035
interpolation_fold0,interpolation,gpu_ready,30,model_structured,huber,False,0.05,per_operation,per_operation,constant,constant,20,0.9,0.9,0.816496580927726,0.8333333333333334,1.0,10,2,0,8,1.117128910324975,1.0,1.2724496633071884,3.169999592074822,90.0,72.40026394192945,1.0008584898546045
interpolation_fold0,interpolation,gpu_ready,100,model_structured,huber,False,0.05,per_operation,per_operation,constant,constant,20,0.9,0.9166666666666667,0.816496580927726,0.8,1.0,8,2,0,10,1.029477906508299,1.0,1.2720501982470596,1.3200333615673587,90.0,792.8782617233525,1.0002744121160914
interpolation_fold0,interpolation,gpu_ready,1000,model_structured,huber,False,0.0,per_operation,per_operation,constant,constant,20,1.0,1.0,1.0,1.0,1.0,6,0,0,14,1.0,1.0,1.0,1.0,100.0,78868.78431046664,1.0
interpolation_fold0,interpolation,none_ready,1,model_structured,huber,False,0.0,per_operation,per_operation,constant,constant,20,1.0,1.0,,,,0,0,0,20,1.0,1.0,1.0,1.0,100.0,2.466817330099965,1.0
interpolation_fold0,interpolation,none_ready,2,model_structured,huber,False,0.0,per_operation,per_operation,constant,constant,20,1.0,1.0,,,,0,0,0,20,1.0,1.0,1.0,1.0,100.0,6.875135238713041,1.0
interpolation_fold0,interpolation,none_ready,3,model_structured,huber,False,0.0,per_operation,per_operation,constant,constant,20,1.0,1.0,,,,0,0,0,20,1.0,1.0,1.0,1.0,100.0,13.877506995478386,1.0
interpolation_fold0,interpolation,none_ready,5,model_structured,huber,False,0.0,per_operation,per_operation,constant,constant,20,1.0,1.0,,,,0,0,0,20,1.0,1.0,1.0,1.0,100.0,35.664412053465874,1.0
interpolation_fold0,interpolation,none_ready,10,model_structured,huber,False,0.0,per_operation,per_operation,constant,constant,20,1.0,1.0,,,,0,0,0,20,1.0,1.0,1.0,1.0,100.0,135.5276170410993,1.0
interpolation_fold0,interpolation,none_ready,30,model_structured,huber,False,0.0,per_operation,per_operation,constant,constant,20,1.0,1.0,1.0,1.0,1.0,3,0,0,17,1.0,1.0,1.0,1.0,100.0,439.66822982560643,1.0
interpolation_fold0,interpolation,none_ready,100,model_structured,huber,False,0.0,per_operation,per_operation,constant,constant,20,1.0,1.0,1.0,1.0,1.0,3,0,0,17,1.0,1.0,1.0,1.0,100.0,1690.0296271762265,1.0
interpolation_fold0,interpolation,none_ready,1000,model_structured,huber,False,0.0,per_operation,per_operation,constant,constant,20,1.0,1.0,1.0,1.0,1.0,5,0,0,15,1.0,1.0,1.0,1.0,100.0,86857.76146325747,1.0
interpolation_fold0,interpolation,cpu_ready,1,model_structured,tree,False,0.0,per_operation,per_operation,constant,constant,20,1.0,1.0,,,,0,0,0,20,1.0,1.0,1.0,1.0,100.0,1.2970269240761343,1.0
interpolation_fold0,interpolation,cpu_ready,2,model_structured,tree,False,0.0,per_operation,per_operation,constant,constant,20,1.0,1.0,,,,0,0,0,20,1.0,1.0,1.0,1.0,100.0,5.188107696304537,1.0
interpolation_fold0,interpolation,cpu_ready,3,model_structured,tree,False,0.0,per_operation,per_operation,constant,constant,20,0.95,0.95,,0.0,,0,1,0,19,2.4125555476648857,1.0,2.4125555476649057,29.251110953297708,95.0,80.63131191537998,6.907362130239446
interpolation_fold0,interpolation,cpu_ready,5,model_structured,tree,False,0.0,per_operation,per_operation,constant,constant,20,0.95,0.95,,0.0,,0,1,0,19,1.518089806393044,1.0,1.5180898063930512,11.361796127860876,95.0,102.68146073502946,3.166671680564194
