config_id,operation,size,log10_n,flops_per_dispatch_analytic,log10_flops_per_dispatch,logical_bytes_per_dispatch,log10_logical_bytes,arithmetic_intensity_analytic,cpu_e_cold,log_cpu_e_cold,cpu_t_cold,log_cpu_t_cold,cpu_e_warm,log_cpu_e_warm,cpu_t_warm,log_cpu_t_warm,cpu_startup_e,cpu_startup_t,gpu_e_cold,log_gpu_e_cold,gpu_t_cold,log_gpu_t_cold,gpu_e_warm,log_gpu_e_warm,gpu_t_warm,log_gpu_t_warm,gpu_startup_e,gpu_startup_t
cholesky_N96,cholesky,96,1.9822712330395684,294912.0,5.469692444399043,147456.0,5.168662448735062,2.0,0.1684706074382223,-1.780993980973962,0.0017661843333333,-6.33893380323655,0.0126636296629289,-4.369021200124695,8.523644112406868e-05,-9.370081502848207,0.1558069777752934,0.0016809478922092313,91.21736883394613,4.513245326688054,0.6378177583333332,-0.4497026816872801,0.0422509724474844,-3.1641279089353236,0.0002793954465277,-8.182882408598124,91.17511786149863,0.6375383628868055
fft_N1024,fft,1024,3.010299956639812,104857600.0,8.020599913279623,33554432.0,7.52574989159953,3.125,4.206849388916922,1.4367140038527173,0.0334500879999999,-3.397700861619136,1.233010127823209,0.20945843811701217,0.0081104571177536,-4.814601047738733,2.9738392610937128,0.0253396308822463,85.24255344061821,4.445500762678254,0.6171663893333333,-0.48261661666205974,0.5959151599864908,-0.517656971065325,0.0036730155734265,-5.606742272179051,84.64663828063172,0.6134933737599069
fft_N128,fft,128,2.1072099696478683,1146880.0,6.059517979309994,524288.0,5.719569917615643,2.1875,2.901200080446353,1.0651244722357676,0.0211982886666666,-3.853834823832912,0.0072842750591362,-4.922037355729773,4.814503439093547e-05,-9.941292552952302,2.8939158053872167,0.021150143632275666,88.43909028720948,4.482314069722067,0.634244452,-0.4553208278803812,0.0282240166161745,-3.567582010432926,0.0001885866258413,-8.575953103103846,88.4108662705933,0.6340558653741587
fft_N1536,fft,1536,3.186391215695493,249730596.8810142,8.397471755176863,75497472.0,7.877932409710892,3.307800781475361,6.832471577143515,1.92168647886171,0.0508073293333333,-2.979714656589579,3.9800171472375143,1.3812861276381996,0.0271089167818181,-3.6078925726764037,2.852454429906001,0.023698412551515197,86.68518078006745,4.462282943918372,0.6067294873333333,-0.49967224239094327,1.374824343654706,0.3183259728884948,0.008203849025641,-4.803151841471682,85.31035643641275,0.5985256383076923
fft_N192,fft,192,2.2833012287035497,2796120.576265847,6.446555895427656,1179648.0,6.071752435727006,2.370300781475361,4.168608061592541,1.4275821819084504,0.0292485216666666,-3.5319262478920703,0.0521378444400376,-2.953864213102807,0.0003577071205501,-7.935796005411272,4.116470217152503,0.0288908145461165,85.99911844348661,4.454337045543837,0.6052825543333333,-0.5020598980208524,0.0465802931798177,-3.066577720432017,0.0003034603612723,-8.100259561357442,85.9525381503068,0.6049790939720611
fft_N2048,fft,2048,3.3113299523037933,461373440.0,8.664052589765811,134217728.0,8.127809882927492,3.4375,9.69737907995954,2.2718556510569807,0.0696293103333333,-2.6645696748112835,7.273328476450509,1.9842140239708508,0.0474250561979166,-3.0486045781766986,2.4240506035090306,0.022204254135416705,81.04018771401608,4.394945176250876,0.5503882836666666,-0.597131279532403,2.428810281918597,0.8874015415429688,0.0146522264923547,-4.223162976066378,78.61137743209748,0.5357360571743119
fft_N256,fft,256,2.4082399653118496,5242880.0,6.719569917615643,2097152.0,6.321629908943605,2.5,2.979073432297236,1.0916123234096273,0.0238009873333333,-3.738028214571334,0.0337299618084461,-3.3893687621817925,0.0002203947664186,-8.420090226799575,2.94534347048879,0.0235805925669147,94.65893452165128,4.55028026856911,0.6903937983333334,-0.37049312196859774,0.0765182531871754,-2.5702259628570685,0.000478228043187,-7.645422861441177,94.5824162684641,0.6899155702901464
fft_N3072,fft,3072,3.4874212113594742,1093294227.524057,9.038737055082644,301989888.0,8.479992401038855,3.6203007814753616,18.307869206765734,2.9073309787176864,0.1270240956666666,-2.0633784808611493,15.671856923257783,2.75186655115045,0.1030005419777777,-2.2730210288461734,2.6360122835079505,0.024023553688888893,93.39296075327847,4.5368159757273325,0.6545852573333333,-0.423753438810388,5.476004839781004,1.7003757912426498,0.0326103013120567,-3.423127049356786,87.91695591349747,0.6219749560212766
fft_N384,fft,384,2.584331224367531,12659042.305063387,7.102400851229615,4718592.0,6.673812427054967,2.682800781475361,3.5255991022053528,1.2600503798954354,0.0284388086666666,-3.5600005642821952,0.0696274149728105,-2.664596895909852,0.0004513613510297,-7.703242317473088,3.4559716872325423,0.0279874473156369,75.61907759691445,4.325708600516327,0.5385853216666666,-0.6188093517300554,0.1209564486152542,-2.1123247269748653,0.0007628937387536,-7.17839180406706,75.49812114829919,0.537822427927913
fft_N4096,fft,4096,3.612359947967774,2013265920.0,9.303901141983173,536870912.0,8.729869874255455,3.75,34.39750009792427,3.5379838901666774,0.226752093,-1.4838979595995023,31.52766285194449,3.450865346228081,0.2054411753749999,-1.5825955372400928,2.869837245979781,0.021310917625000092,99.20366668503772,4.597174976158512,0.6721913169999999,-0.39721228106108264,9.633132817485192,2.2652084914397213,0.0577026457820512,-2.852452252411011,89.57053386755253,0.6144886712179487
fft_N512,fft,512,2.709269960975831,23592960.0,7.372782431390986,8388608.0,6.923689900271567,2.8125,2.685921066621283,0.988023710707693,0.022184156,-3.8083769385981814,0.1934355916974655,-1.6428106813669245,0.0012515867825452,-6.683343106671778,2.492485474923818,0.0209325692174548,79.82941994813403,4.379892107542546,0.5419558329999999,-0.6125707697927835,0.181239769732515,-1.7079344296954004,0.0010991619062897,-6.813207292946699,79.64818017840152,0.5408566710937103
fft_N64,fft,64,1.806179973983887,245760.0,5.390511198351418,131072.0,5.11750992628768,1.875,2.641755466923701,0.971443645769511,0.0221468623333333,-3.81005944790505,0.002465305720875,-6.00543945448217,1.674379184157693e-05,-10.997483004719582,2.6392901612028257,0.022130118541491724,94.98337802916728,4.553701908177806,0.677375446,-0.38952958667201204,0.0198171919285554,-3.9212054387980206,0.0001305160066896,-8.944014682097947,94.96356083723873,0.6772449299933104
fft_N768,fft,768,2.885361220031512,56534409.22025355,7.752312858188766,18874368.0,7.27587241838293,2.995300781475361,3.5922675392370302,1.278783629636529,0.0284399803333333,-3.559959365561636,0.7295965478326948,-0.3152635718221694,0.0049055222458471,-5.317393719492485,2.8626709914043356,0.0235344580874862,87.56704958167488,4.472404780853658,0.619332248,-0.47911340069995756,0.3366051305647993,-1.0888447550219291,0.0020609919747899,-6.184567870924239,87.23044445111007,0.61727125602521
fft_N96,fft,96,1.9822712330395684,606870.1440664617,5.783095772214259,294912.0,5.469692444399043,2.057800781475361,4.054768237917829,1.399893531289802,0.0273057183333333,-3.6006591359660223,0.0041140316547408,-5.493351793386029,2.746530378810483e-05,-10.502587030313155,4.050654206263088,0.0272782530295452,91.82845914317704,4.519922262035423,0.659227345,-0.416686819147719,0.023881081112539,-3.7346687187631256,0.0001606863322646,-8.736056340084914,91.80457806206451,0.6590666586677354
gemm_N1024,gemm,1024,3.010299956639812,2147483648.0,9.331929865583417,25165824.0,7.40081115499123,85.33333333333333,0.9433243313678108,-0.05834511977813067,0.006929945,-4.971903402319756,0.9642565868975488,-0.03639785080741048,0.0050827888457207,-5.281895182651,-0.020932255529737986,0.0018471561542793002,95.14835420543211,4.555437296750024,0.6994448983333333,-0.357468260912399,0.5266966252065933,-0.6411305599433698,0.0030018306877897,-5.80853294716496,94.62165758022552,0.6964430676455436
gemm_N128,gemm,128,2.1072099696478683,4194304.0,6.622659904607587,393216.0,5.594631181007343,10.666666666666666,0.1308150225732222,-2.033970995076731,0.0014130616666666,-6.561996533863611,0.0057648055611538,-5.155983853296715,3.612514664467743e-05,-10.228521352171684,0.1250502170120684,0.0013769365200219225,95.58364287191291,4.560001705751955,0.6888614006666667,-0.3727151883393543,0.0173817993889038,-4.052331632346104,0.0001177006447638,-9.04736606568586,95.56626107252401,0.6887437000219029
gemm_N1536,gemm,1536,3.186391215695493,7247757312.0,9.860203642750461,56623104.0,7.752993673102592,128.0,2.994800681905766,1.0968776790709633,0.0171137536666666,-4.067872830763664,3.002619780160849,1.0994851676519979,0.0154468331598639,-4.170351270119908,-0.007819098255082757,0.0016669205068026993,81.48087988272442,4.4003683900573485,0.5358969536666667,-0.6238133870157453,1.1978052876630116,0.18049095531753584,0.0065642464698235,-5.026117557735356,80.28307459506141,0.5293327071968432
