run,kernel_ref,level,rep,elapsed_ns,pkg_uj,dram_uj,n_compute,n_memory,freq_applied,accepted,cmd_args
pacca_cpu_final_20260913__cpu_rajaperf_basic_init3__F0__rep02,cpu_rajaperf_basic_init3,F0,2,4111910000.0,417148224,71275356,0,1332,3200000,True,--repfact 3
pacca_cpu_final_20260913__cpu_rajaperf_basic_init3__F0__rep03,cpu_rajaperf_basic_init3,F0,3,4246960000.0,429466186,72047976,0,1465,3200000,True,--repfact 3
pacca_cpu_final_20260913__cpu_rajaperf_basic_init3__F1__rep01,cpu_rajaperf_basic_init3,F1,1,4013460000.0,395432093,69929660,0,1229,2900000,True,--repfact 3
pacca_cpu_final_20260913__cpu_rajaperf_basic_init3__F1__rep02,cpu_rajaperf_basic_init3,F1,2,4048530000.0,398408160,70161929,0,1269,2900000,True,--repfact 3
pacca_cpu_final_20260913__cpu_rajaperf_basic_init3__F1__rep03,cpu_rajaperf_basic_init3,F1,3,3997340000.0,392456698,69459338,0,1202,2900000,True,--repfact 3
pacca_cpu_final_20260913__cpu_rajaperf_basic_init3__F2__rep01,cpu_rajaperf_basic_init3,F2,1,4218600000.0,404710084,72100179,0,1440,2600000,True,--repfact 3
pacca_cpu_final_20260913__cpu_rajaperf_basic_init3__F2__rep02,cpu_rajaperf_basic_init3,F2,2,4106980000.0,394294706,70202229,0,1311,2600000,True,--repfact 3
pacca_cpu_final_20260913__cpu_rajaperf_basic_init3__F2__rep03,cpu_rajaperf_basic_init3,F2,3,4195610000.0,402546455,71539312,0,1404,2600000,True,--repfact 3
pacca_cpu_final_20260913__cpu_rajaperf_basic_init3__F3__rep01,cpu_rajaperf_basic_init3,F3,1,4164580000.0,391930820,71143057,0,1386,2300000,True,--repfact 3
pacca_cpu_final_20260913__cpu_rajaperf_basic_init3__F3__rep02,cpu_rajaperf_basic_init3,F3,2,4047980000.0,380100589,70284130,0,1265,2300000,True,--repfact 3
pacca_cpu_final_20260913__cpu_rajaperf_basic_init3__F3__rep03,cpu_rajaperf_basic_init3,F3,3,4276050000.0,402156136,72640467,0,1498,2300000,True,--repfact 3
pacca_cpu_final_20260913__cpu_rajaperf_basic_init3__F4__rep01,cpu_rajaperf_basic_init3,F4,1,4152520000.0,385955921,71343487,0,1350,2000000,True,--repfact 3
pacca_cpu_final_20260913__cpu_rajaperf_basic_init3__F4__rep02,cpu_rajaperf_basic_init3,F4,2,4613790000.0,426262702,75339005,0,1815,2000000,True,--repfact 3
pacca_cpu_final_20260913__cpu_rajaperf_basic_init3__F4__rep03,cpu_rajaperf_basic_init3,F4,3,4434680000.0,411006272,73842803,0,1632,2000000,True,--repfact 3
pacca_cpu_final_20260913__cpu_rajaperf_basic_init3__F5__rep01,cpu_rajaperf_basic_init3,F5,1,4508980000.0,409964283,73862311,0,1686,1700000,True,--repfact 3
pacca_cpu_final_20260913__cpu_rajaperf_basic_init3__F5__rep02,cpu_rajaperf_basic_init3,F5,2,4578680000.0,415207433,75110852,0,1763,1700000,True,--repfact 3
pacca_cpu_final_20260913__cpu_rajaperf_basic_init3__F5__rep03,cpu_rajaperf_basic_init3,F5,3,4458380000.0,405851623,73589053,0,1642,1700000,True,--repfact 3
pacca_cpu_final_20260913__cpu_rajaperf_basic_init3__F6__rep01,cpu_rajaperf_basic_init3,F6,1,4616880000.0,413613749,75720541,0,1800,1400000,True,--repfact 3
pacca_cpu_final_20260913__cpu_rajaperf_basic_init3__F6__rep02,cpu_rajaperf_basic_init3,F6,2,4597260000.0,410704820,75161342,0,1791,1400000,True,--repfact 3
pacca_cpu_final_20260913__cpu_rajaperf_basic_init3__F6__rep03,cpu_rajaperf_basic_init3,F6,3,4660460000.0,415715855,75837984,0,1825,1400000,True,--repfact 3
pacca_cpu_final_20260913__cpu_rajaperf_basic_init3__F7__rep01,cpu_rajaperf_basic_init3,F7,1,5316360000.0,460562175,81478528,36,2313,1100000,True,--repfact 3
pacca_cpu_final_20260913__cpu_rajaperf_basic_init3__F7__rep02,cpu_rajaperf_basic_init3,F7,2,5215490000.0,455835747,80954305,26,2354,1100000,True,--repfact 3
