kernel_ref,n_gpu_telemetry,n_windows_total,quality_json,repetition,run_dir
rodinia_myocyte,612,7090,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 942, ""pmu_degraded"": 2418, ""intensity_undefined"": 3117, ""gpu_telemetry"": 612}",2,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_10000000/sweep_gpu_interval_10000000__rodinia_myocyte__REF__rep02
rodinia_myocyte,613,7095,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 947, ""pmu_degraded"": 2434, ""intensity_undefined"": 3100, ""gpu_telemetry"": 613}",3,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_10000000/sweep_gpu_interval_10000000__rodinia_myocyte__REF__rep03
gpu_dgemm_n4096,45,4533,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 389, ""pmu_degraded"": 3885, ""ok"": 140, ""intensity_undefined"": 73, ""gpu_telemetry"": 45}",1,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_100000000/sweep_gpu_interval_100000000__gpu_dgemm_n4096__REF__rep01
gpu_dgemm_n4096,45,4537,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 393, ""pmu_degraded"": 3887, ""intensity_undefined"": 70, ""ok"": 141, ""gpu_telemetry"": 45}",2,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_100000000/sweep_gpu_interval_100000000__gpu_dgemm_n4096__REF__rep02
gpu_dgemm_n4096,45,4535,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 388, ""pmu_degraded"": 3888, ""intensity_undefined"": 72, ""ok"": 141, ""gpu_telemetry"": 45}",3,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_100000000/sweep_gpu_interval_100000000__gpu_dgemm_n4096__REF__rep03
rodinia_backprop,9,848,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 822, ""pmu_degraded"": 16, ""gpu_telemetry"": 9}",1,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_100000000/sweep_gpu_interval_100000000__rodinia_backprop__REF__rep01
rodinia_backprop,9,852,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 828, ""pmu_degraded"": 14, ""gpu_telemetry"": 9}",2,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_100000000/sweep_gpu_interval_100000000__rodinia_backprop__REF__rep02
rodinia_backprop,9,852,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 828, ""pmu_degraded"": 14, ""gpu_telemetry"": 9}",3,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_100000000/sweep_gpu_interval_100000000__rodinia_backprop__REF__rep03
rodinia_dwt2d,22,2158,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 947, ""pmu_degraded"": 125, ""intensity_undefined"": 1063, ""gpu_telemetry"": 22}",1,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_100000000/sweep_gpu_interval_100000000__rodinia_dwt2d__REF__rep01
rodinia_dwt2d,22,2136,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 944, ""pmu_degraded"": 137, ""intensity_undefined"": 1032, ""gpu_telemetry"": 22}",2,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_100000000/sweep_gpu_interval_100000000__rodinia_dwt2d__REF__rep02
