elapsed_seconds,gpu_interval_ns,kernel_ref,n_gpu_telemetry,n_windows_total,phase_label_train,quality_json,repetition,success
6.932914758101106,50000000,rodinia_myocyte,129,6637,memory_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 951, ""pmu_degraded"": 2438, ""intensity_undefined"": 3118, ""gpu_telemetry"": 129}",3,True
2.524086688645184,50000000,rodinia_dwt2d,42,2150,memory_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 948, ""pmu_degraded"": 122, ""intensity_undefined"": 1037, ""gpu_telemetry"": 42}",1,True
2.574065577238798,50000000,rodinia_dwt2d,43,2182,memory_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 948, ""pmu_degraded"": 133, ""intensity_undefined"": 1057, ""gpu_telemetry"": 43}",2,True
2.5242381561547518,50000000,rodinia_dwt2d,42,2132,memory_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 950, ""pmu_degraded"": 119, ""intensity_undefined"": 1020, ""gpu_telemetry"": 42}",3,True
4.932834222912788,100000000,gpu_dgemm_n4096,45,4533,compute_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 389, ""pmu_degraded"": 3885, ""no_freq_reading"": 140, ""intensity_undefined"": 73, ""gpu_telemetry"": 45}",1,True
4.928902042098343,100000000,gpu_dgemm_n4096,45,4537,compute_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 393, ""pmu_degraded"": 3887, ""intensity_undefined"": 70, ""no_freq_reading"": 141, ""gpu_telemetry"": 45}",2,True
4.930097385309637,100000000,gpu_dgemm_n4096,45,4535,compute_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 388, ""pmu_degraded"": 3888, ""intensity_undefined"": 72, ""no_freq_reading"": 141, ""gpu_telemetry"": 45}",3,True
7.335662461817265,100000000,rodinia_hotspot,69,6987,memory_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 2204, ""pmu_degraded"": 597, ""intensity_undefined"": 4116, ""gpu_telemetry"": 69}",1,True
7.335799980908632,100000000,rodinia_hotspot,69,6983,memory_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 2204, ""pmu_degraded"": 593, ""intensity_undefined"": 4116, ""gpu_telemetry"": 69}",2,True
7.334915048442781,100000000,rodinia_hotspot,69,6991,memory_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 2204, ""pmu_degraded"": 595, ""intensity_undefined"": 4122, ""gpu_telemetry"": 69}",3,True
1.2710576374083757,100000000,rodinia_backprop,9,848,memory_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 822, ""pmu_degraded"": 16, ""gpu_telemetry"": 9}",1,True
1.2710707411170006,100000000,rodinia_backprop,9,852,memory_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 828, ""pmu_degraded"": 14, ""gpu_telemetry"": 9}",2,True
1.2703473884612322,100000000,rodinia_backprop,9,852,memory_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 828, ""pmu_degraded"": 14, ""gpu_telemetry"": 9}",3,True
5.932565241120756,100000000,rodinia_lavamd,55,5573,compute_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 3743, ""pmu_degraded"": 1506, ""intensity_undefined"": 268, ""gpu_telemetry"": 55}",1,True
5.931536086834967,100000000,rodinia_lavamd,55,5578,compute_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 3746, ""pmu_degraded"": 1506, ""intensity_undefined"": 270, ""gpu_telemetry"": 55}",2,True
5.982754754833877,100000000,rodinia_lavamd,55,5580,compute_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 3748, ""pmu_degraded"": 1507, ""intensity_undefined"": 269, ""gpu_telemetry"": 55}",3,True
0.7229372709989548,100000000,rodinia_heartwall,4,317,compute_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 277, ""pmu_degraded"": 16, ""intensity_undefined"": 19, ""gpu_telemetry"": 4}",1,True
0.719899432733655,100000000,rodinia_heartwall,4,317,compute_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 278, ""pmu_degraded"": 15, ""intensity_undefined"": 19, ""gpu_telemetry"": 4}",2,True
0.7194555895403028,100000000,rodinia_heartwall,4,314,compute_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 278, ""pmu_degraded"": 15, ""intensity_undefined"": 16, ""gpu_telemetry"": 4}",3,True
9.389614000916481,100000000,rodinia_lud,89,9047,memory_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 975, ""pmu_degraded"": 25, ""intensity_undefined"": 7957, ""gpu_telemetry"": 89}",1,True
9.039269840344787,100000000,rodinia_lud,86,8664,memory_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 974, ""pmu_degraded"": 26, ""intensity_undefined"": 7577, ""gpu_telemetry"": 86}",2,True
9.38954213168472,100000000,rodinia_lud,89,9030,memory_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 976, ""pmu_degraded"": 24, ""intensity_undefined"": 7940, ""gpu_telemetry"": 89}",3,True
6.934662252664566,100000000,rodinia_myocyte,65,6587,memory_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 954, ""pmu_degraded"": 2442, ""intensity_undefined"": 3125, ""gpu_telemetry"": 65}",1,True
6.934664270840585,100000000,rodinia_myocyte,65,6582,memory_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 946, ""pmu_degraded"": 2466, ""intensity_undefined"": 3104, ""gpu_telemetry"": 65}",2,True
6.8838674165308475,100000000,rodinia_myocyte,65,6538,memory_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 958, ""pmu_degraded"": 2425, ""intensity_undefined"": 3089, ""gpu_telemetry"": 65}",3,True
2.5742797376587987,100000000,rodinia_dwt2d,22,2158,memory_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 947, ""pmu_degraded"": 125, ""intensity_undefined"": 1063, ""gpu_telemetry"": 22}",1,True
2.5238568261265755,100000000,rodinia_dwt2d,22,2136,memory_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 944, ""pmu_degraded"": 137, ""intensity_undefined"": 1032, ""gpu_telemetry"": 22}",2,True
2.5238876082003117,100000000,rodinia_dwt2d,21,2129,memory_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 950, ""pmu_degraded"": 121, ""intensity_undefined"": 1036, ""gpu_telemetry"": 21}",3,True
