fold,regime,resource_state,k,selected_baseline,selected_baseline_edp_sum_ratio_vs_oracle,selected_model,selected_model_edp_sum_ratio_vs_oracle,n,oracle_edp_sum_js,selected_baseline_edp_sum_js,selected_model_edp_sum_js,model_improvement_pct,model_beats_baseline_above_noise_floor,adopted_policy
extrapolation_top1,extrapolation,cpu_ready,1,always_cpu_ref,1.0,model_regression:random_forest+probe,1.0,6,36.38795149086501,36.38795149086501,36.38795149086501,0.0,False,baseline
extrapolation_top1,extrapolation,cpu_ready,2,always_cpu_ref,1.0602062165177653,model_regression:random_forest+probe,1.0602062165177653,6,137.286316280547,145.55180596346003,145.55180596346003,0.0,False,baseline
extrapolation_top1,extrapolation,cpu_ready,3,intensity_threshold_train,1.171817144495761,model_regression:random_forest+probe,1.607088603933028,6,203.77940744294685,238.7922033368322,327.4915634177852,-37.14499838834211,False,baseline
extrapolation_top1,extrapolation,cpu_ready,5,intensity_threshold_train,1.0,model_regression:random_forest+probe,2.816168050162741,6,323.0271670822541,323.0271670822541,909.6987872716254,-181.6168050162741,False,baseline
extrapolation_top1,extrapolation,cpu_ready,10,intensity_threshold_train,1.0,model_regression:random_forest+probe,6.04542857185179,6,601.9085505416688,601.9085505416688,3638.7951490865016,-504.542857185179,False,baseline
extrapolation_top1,extrapolation,cpu_ready,30,intensity_threshold_train,1.0,model_regression:random_forest+probe,1.0,6,2693.062285748755,2693.062285748755,2693.062285748755,0.0,False,baseline
extrapolation_top1,extrapolation,cpu_ready,100,intensity_threshold_train,1.0,model_regression:random_forest+probe,1.0,6,22305.01569622834,22305.01569622834,22305.01569622834,0.0,False,baseline
extrapolation_top1,extrapolation,cpu_ready,1000,intensity_threshold_train,1.0,model_regression:random_forest+probe,1.0,6,1977905.541993414,1977905.541993414,1977905.541993414,0.0,False,baseline
extrapolation_top1,extrapolation,gpu_ready,1,intensity_threshold_train,1.0,model_regression:random_forest+probe,1.017266755700173,6,2.525139071390845,2.5251390713908446,2.568740030845513,-1.7266755700173109,False,baseline
extrapolation_top1,extrapolation,gpu_ready,2,intensity_threshold_train,1.0,model_regression:random_forest+probe,1.033508804607208,6,8.753534204407382,8.753534204407382,9.04685467168538,-3.3508804607208065,False,baseline
extrapolation_top1,extrapolation,gpu_ready,3,intensity_threshold_train,1.0,model_regression:random_forest+probe,1.039100149579499,6,18.884442142901623,18.884442142901623,19.62282665541447,-3.910014957949892,False,baseline
extrapolation_top1,extrapolation,gpu_ready,5,intensity_threshold_train,1.0,model_regression:random_forest+probe,1.0435473134830755,6,50.85379643632325,50.85379643632324,53.06834265154033,-4.35473134830755,False,baseline
extrapolation_top1,extrapolation,gpu_ready,10,intensity_threshold_train,1.0,model_regression:random_forest+probe,1.0468349109513055,6,199.07115626573716,199.0711562657372,208.3946361424164,-4.683491095130554,False,baseline
extrapolation_top1,extrapolation,gpu_ready,30,intensity_threshold_train,1.0,model_regression:random_forest+probe,1.0489912183473096,6,1767.5687969528199,1767.56879695282,1854.1641458282268,-4.899121834730957,False,baseline
extrapolation_top1,extrapolation,gpu_ready,100,intensity_threshold_train,1.0,model_regression:random_forest+probe,1.049737644432051,6,19550.22587661239,19550.22587661239,20522.608059829618,-4.973764443205098,False,baseline
extrapolation_top1,extrapolation,gpu_ready,1000,intensity_threshold_train,1.0,model_regression:random_forest+probe,1.0500242869845262,6,1951631.2279203979,1951631.2279203977,2049260.188553851,-5.002428698452621,False,baseline
extrapolation_top1,extrapolation,none_ready,1,always_cpu_ref,1.0,model_regression:random_forest+probe,1.0,6,40.27724387506998,40.27724387506998,40.27724387506998,0.0,False,baseline
extrapolation_top1,extrapolation,none_ready,2,always_cpu_ref,1.083777599362385,model_regression:random_forest+probe,1.083777599362385,6,141.18863193242552,153.0170765729835,153.0170765729835,0.0,False,baseline
extrapolation_top1,extrapolation,none_ready,3,intensity_threshold_train,1.149162584595045,model_regression:random_forest+probe,1.6201765575393914,6,208.9480993150318,240.1153378550841,338.5328122526271,-40.987583415825156,False,baseline
extrapolation_top1,extrapolation,none_ready,5,intensity_threshold_train,1.0,model_regression:random_forest+probe,2.854177997816016,6,325.099553450106,325.09955345010604,927.8919925571043,-185.4177997816016,False,baseline
extrapolation_top1,extrapolation,none_ready,10,intensity_threshold_train,1.0,model_regression:random_forest+probe,6.065599702127692,6,605.8540665335205,605.8540665335205,3674.868245498573,-506.55997021276914,False,baseline
extrapolation_top1,extrapolation,none_ready,30,intensity_threshold_train,1.0,model_regression:random_forest+probe,1.0,6,2704.5003202366056,2704.5003202366056,2704.5003202366056,0.0,False,baseline
extrapolation_top1,extrapolation,none_ready,100,intensity_threshold_train,1.0,model_regression:random_forest+probe,1.0,6,22342.677545452185,22342.677545452185,22342.677545452185,0.0,False,baseline
extrapolation_top1,extrapolation,none_ready,1000,intensity_threshold_train,1.0,model_regression:random_forest+probe,1.0,6,1978280.3671749576,1978280.3671749576,1978280.3671749576,0.0,False,baseline
extrapolation_top2,extrapolation,cpu_ready,1,always_cpu_ref,1.0,model_regression:random_forest+probe,1.0,12,44.65234384429675,44.65234384429675,44.65234384429675,0.0,False,baseline
extrapolation_top2,extrapolation,cpu_ready,2,always_cpu_ref,1.0485223737219873,model_regression:random_forest+probe,1.0485223737219873,12,170.34388569427395,178.609375377187,178.609375377187,0.0,False,baseline
extrapolation_top2,extrapolation,cpu_ready,3,intensity_threshold_train,1.6134882554641985,model_regression:random_forest+probe,1.4447534801034745,12,278.1589386238325,448.8061806219406,401.8710945986708,10.457762849484098,True,model
extrapolation_top2,extrapolation,cpu_ready,5,intensity_threshold_train,1.133207603979171,model_regression:random_forest+probe,2.21448878793425,12,504.09313525978575,571.24217399009,1116.308596107419,-95.41774871243749,False,baseline
extrapolation_top2,extrapolation,cpu_ready,10,intensity_threshold_train,1.0,model_regression:random_forest+probe,4.642376669228685,12,961.8423283114506,961.8423283114504,4465.234384429676,-364.2376669228685,False,baseline
extrapolation_top2,extrapolation,cpu_ready,30,intensity_threshold_train,1.0,model_regression:random_forest+probe,1.0,12,3731.531101325273,3731.531101325273,3731.531101325273,0.0,False,baseline
extrapolation_top2,extrapolation,cpu_ready,100,intensity_threshold_train,1.0,model_regression:random_forest+probe,1.0,12,28637.27256905126,28637.27256905126,28637.27256905126,0.0,False,baseline
extrapolation_top2,extrapolation,cpu_ready,1000,intensity_threshold_train,1.0,model_regression:random_forest+probe,1.0,12,2456779.0684844246,2456779.0684844246,2456779.0684844246,0.0,False,baseline
