fold,regime,resource_state,k,method,name,with_probe,abstention_rate,tuned,n,accuracy,balanced_accuracy,mcc,precision_migrate_gpu,recall_migrate_gpu,tp_gpu,fp_gpu,fn_gpu,tn_cpu,regret_ratio_mean,regret_ratio_median,regret_ratio_p95,regret_ratio_max,oracle_savings_captured_pct,edp_sum_js,edp_sum_ratio_vs_oracle
interpolation_fold0,interpolation,cpu_ready,1,baseline,k_break_even_table_train,,,,20,1.0,1.0,,,,0,0,0,20,1.0,1.0,1.0,1.0,100.0,1.2970269240761343,1.0
interpolation_fold0,interpolation,cpu_ready,2,baseline,k_break_even_table_train,,,,20,1.0,1.0,,,,0,0,0,20,1.0,1.0,1.0,1.0,100.0,5.188107696304537,1.0
interpolation_fold0,interpolation,cpu_ready,3,baseline,k_break_even_table_train,,,,20,1.0,1.0,,,,0,0,0,20,1.0,1.0,1.0,1.0,100.0,11.673242316685208,1.0
interpolation_fold0,interpolation,cpu_ready,5,baseline,k_break_even_table_train,,,,20,1.0,1.0,,,,0,0,0,20,1.0,1.0,1.0,1.0,100.0,32.42567310190335,1.0
interpolation_fold0,interpolation,cpu_ready,10,baseline,k_break_even_table_train,,,,20,1.0,1.0,,,,0,0,0,20,1.0,1.0,1.0,1.0,100.0,129.7026924076134,1.0
interpolation_fold0,interpolation,cpu_ready,30,baseline,k_break_even_table_train,,,,20,1.0,1.0,1.0,1.0,1.0,3,0,0,17,1.0,1.0,1.0,1.0,100.0,436.6810655040845,1.0
interpolation_fold0,interpolation,cpu_ready,100,baseline,k_break_even_table_train,,,,20,1.0,1.0,1.0,1.0,1.0,3,0,0,17,1.0,1.0,1.0,1.0,100.0,1681.4501734906037,1.0
interpolation_fold0,interpolation,cpu_ready,1000,baseline,k_break_even_table_train,,,,20,0.85,0.9,0.7071067811865475,0.625,1.0,5,3,0,12,44.865861088788236,1.0,100.4148284221402,816.5602434014789,85.0,87149.52793454503,1.0038388984407685
interpolation_fold0,interpolation,cpu_ready,1,baseline,oracle_k,,,,20,1.0,1.0,,,,0,0,0,20,1.0,1.0,1.0,1.0,100.0,1.2970269240761343,1.0
interpolation_fold0,interpolation,cpu_ready,2,baseline,oracle_k,,,,20,1.0,1.0,,,,0,0,0,20,1.0,1.0,1.0,1.0,100.0,5.188107696304537,1.0
interpolation_fold0,interpolation,cpu_ready,3,baseline,oracle_k,,,,20,1.0,1.0,,,,0,0,0,20,1.0,1.0,1.0,1.0,100.0,11.673242316685208,1.0
interpolation_fold0,interpolation,cpu_ready,5,baseline,oracle_k,,,,20,1.0,1.0,,,,0,0,0,20,1.0,1.0,1.0,1.0,100.0,32.42567310190335,1.0
interpolation_fold0,interpolation,cpu_ready,10,baseline,oracle_k,,,,20,1.0,1.0,,,,0,0,0,20,1.0,1.0,1.0,1.0,100.0,129.7026924076134,1.0
interpolation_fold0,interpolation,cpu_ready,30,baseline,oracle_k,,,,20,1.0,1.0,1.0,1.0,1.0,3,0,0,17,1.0,1.0,1.0,1.0,100.0,436.6810655040845,1.0
interpolation_fold0,interpolation,cpu_ready,100,baseline,oracle_k,,,,20,1.0,1.0,1.0,1.0,1.0,3,0,0,17,1.0,1.0,1.0,1.0,100.0,1681.4501734906037,1.0
interpolation_fold0,interpolation,cpu_ready,1000,baseline,oracle_k,,,,20,1.0,1.0,1.0,1.0,1.0,5,0,0,15,1.0,1.0,1.0,1.0,100.0,86816.24917096923,1.0
interpolation_fold0,interpolation,gpu_ready,1,baseline,always_cpu_ref,,,,20,0.1,0.5,,,0.0,0,0,18,2,3892.533909429141,22.089795241610872,29447.227310891627,40742.91779420079,10.0,2.466817330099965,23.55510407265753
interpolation_fold0,interpolation,gpu_ready,2,baseline,always_cpu_ref,,,,20,0.1,0.5,,,0.0,0,0,18,2,979.859452984587,12.275323567084808,7375.980833283892,10192.164810014016,10.0,6.875135238713041,16.41313799050989
interpolation_fold0,interpolation,gpu_ready,3,baseline,always_cpu_ref,,,,20,0.2,0.5,,,0.0,0,0,16,4,439.5559620854967,11.483357671381462,3284.519523117294,4532.712089996342,20.0,13.877506995478386,15.948398042052922
interpolation_fold0,interpolation,gpu_ready,5,baseline,always_cpu_ref,,,,20,0.25,0.5,,,0.0,0,0,15,5,162.34563169221627,10.340443339488445,1186.9739806369646,1633.8372928782512,25.0,35.664412053465874,15.777451017891561
interpolation_fold0,interpolation,gpu_ready,10,baseline,always_cpu_ref,,,,20,0.35,0.5,,,0.0,0,0,13,7,44.90483573640931,3.535704800178302,299.5952020742743,409.7488327290463,35.0,135.5276170410993,16.16566167880469
interpolation_fold0,interpolation,gpu_ready,30,baseline,always_cpu_ref,,,,20,0.5,0.5,,,0.0,0,0,10,10,9.705391910956024,1.3495006256780078,46.60374891596956,56.11759640606961,50.0,1183.4938990297003,16.360574562063352
interpolation_fold0,interpolation,gpu_ready,100,baseline,always_cpu_ref,,,,20,0.6,0.5,,,0.0,0,0,8,12,5.574908865053336,1.0,12.636723541038851,55.82845495263006,60.0,13022.645507669447,16.42902789523742
interpolation_fold0,interpolation,gpu_ready,1000,baseline,always_cpu_ref,,,,20,0.7,0.5,,,0.0,0,0,6,14,5.245438151103433,1.0,12.627119178937953,55.717127115052016,70.0,1297544.8137657885,16.451943885149905
interpolation_fold0,interpolation,gpu_ready,1,baseline,always_gpu_ref,,,,20,0.9,0.5,,0.9,1.0,18,2,0,0,1.5366062733563688,1.0,5.761797268075361,7.037468806328494,90.0,0.1055921477974125,1.0082765352239091
interpolation_fold0,interpolation,gpu_ready,2,baseline,always_gpu_ref,,,,20,0.9,0.5,,0.9,1.0,18,2,0,0,1.6575866258178515,1.0,6.035359633022563,9.287540286129575,90.0,0.42236859118965,1.0083283789121016
interpolation_fold0,interpolation,gpu_ready,3,baseline,always_gpu_ref,,,,20,0.8,0.5,,0.8,1.0,16,4,0,0,1.7532351311827221,1.0,6.157013980481488,10.366234883466324,80.0,0.9503293301767124,1.0921435985320704
interpolation_fold0,interpolation,gpu_ready,5,baseline,always_gpu_ref,,,,20,0.75,0.5,,0.75,1.0,15,5,0,0,1.989078350763641,1.0,6.269216598660046,11.41535042975039,75.0,2.6398036949353125,1.1678132652587374
interpolation_fold0,interpolation,gpu_ready,10,baseline,always_gpu_ref,,,,20,0.65,0.5,,0.65,1.0,13,7,0,0,2.6827366028024606,1.0,8.822214018268902,12.344309788405862,65.0,10.55921477974125,1.2594974917279536
