ipc_cv_pct,ipc_mean,kernel_ref,n_windows_ok,n_windows_total,quality_json,repetition,run_dir
23.474162638282937,1.814702206871979,npb_lu,32863,34864,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 2000, ""ok"": 32863}",1,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_500000/sweep_interval_500000__npb_lu__REF__rep01
23.194307322927273,1.8239625079706254,npb_lu,32678,34679,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 2000, ""ok"": 32678}",2,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_500000/sweep_interval_500000__npb_lu__REF__rep02
23.830024753105686,1.808237746865848,npb_lu,32990,34991,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 2000, ""ok"": 32990}",3,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_500000/sweep_interval_500000__npb_lu__REF__rep03
26.11314064731876,1.6854061664876967,npb_mg,1295,1896,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 600, ""ok"": 1295}",1,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_500000/sweep_interval_500000__npb_mg__REF__rep01
25.940407886250533,1.6997516565521182,npb_mg,1279,1880,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 600, ""ok"": 1279}",2,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_500000/sweep_interval_500000__npb_mg__REF__rep02
25.150860589191055,1.7164578778454869,npb_mg,1263,1864,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 600, ""ok"": 1263}",3,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_500000/sweep_interval_500000__npb_mg__REF__rep03
42.248603389176544,1.7623568926839606,npb_sp,33663,34664,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 1000, ""ok"": 33663}",1,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_500000/sweep_interval_500000__npb_sp__REF__rep01
46.62392782321285,1.6464876922424863,npb_sp,36300,37301,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 1000, ""ok"": 36300}",2,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_500000/sweep_interval_500000__npb_sp__REF__rep02
42.51820919808168,1.7645783953435223,npb_sp,33626,34627,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 1000, ""ok"": 33626}",3,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_500000/sweep_interval_500000__npb_sp__REF__rep03
19.391978736836617,2.8753536836869,npb_bt,4952,4969,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 16, ""ok"": 4952}",1,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_5000000/sweep_interval_5000000__npb_bt__REF__rep01
19.235097059509236,2.871016016944198,npb_bt,4959,4976,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 16, ""ok"": 4959}",2,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_5000000/sweep_interval_5000000__npb_bt__REF__rep02
19.051046398510636,2.8761535609369404,npb_bt,4950,4967,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 16, ""ok"": 4950}",3,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_5000000/sweep_interval_5000000__npb_bt__REF__rep03
12.548462103846555,1.784262497611605,npb_cg,1320,1335,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 14, ""ok"": 1320}",1,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_5000000/sweep_interval_5000000__npb_cg__REF__rep01
14.302056189308518,1.7585226230897257,npb_cg,1328,1343,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 14, ""ok"": 1328}",2,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_5000000/sweep_interval_5000000__npb_cg__REF__rep02
12.163729178166932,1.758374367836996,npb_cg,1336,1351,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 14, ""ok"": 1336}",3,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_5000000/sweep_interval_5000000__npb_cg__REF__rep03
34.63891305307642,3.334751816711397,npb_ft,727,828,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 100, ""ok"": 727}",1,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_5000000/sweep_interval_5000000__npb_ft__REF__rep01
36.433974582194125,3.220409415297558,npb_ft,766,867,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 100, ""ok"": 766}",2,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_5000000/sweep_interval_5000000__npb_ft__REF__rep02
34.1896101831061,3.356328128084048,npb_ft,722,823,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 100, ""ok"": 722}",3,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_5000000/sweep_interval_5000000__npb_ft__REF__rep03
14.364364995861795,1.8298216055755325,npb_lu,3253,3454,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 200, ""ok"": 3253}",1,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_5000000/sweep_interval_5000000__npb_lu__REF__rep01
14.511585627484225,1.8173673617035473,npb_lu,3258,3459,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 200, ""ok"": 3258}",2,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_5000000/sweep_interval_5000000__npb_lu__REF__rep02
14.464243444486954,1.8249790485011006,npb_lu,3247,3448,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 200, ""ok"": 3247}",3,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_5000000/sweep_interval_5000000__npb_lu__REF__rep03
16.21668793749554,1.7167228284568588,npb_mg,125,186,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 60, ""ok"": 125}",1,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_5000000/sweep_interval_5000000__npb_mg__REF__rep01
15.913785654522094,1.7149983609513189,npb_mg,125,186,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 60, ""ok"": 125}",2,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_5000000/sweep_interval_5000000__npb_mg__REF__rep02
15.321138622473107,1.6769891857119925,npb_mg,129,190,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 60, ""ok"": 129}",3,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_5000000/sweep_interval_5000000__npb_mg__REF__rep03
30.175067056596696,1.76974079785582,npb_sp,3334,3435,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 100, ""ok"": 3334}",1,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_5000000/sweep_interval_5000000__npb_sp__REF__rep01
30.425809372432283,1.775914596053927,npb_sp,3323,3424,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 100, ""ok"": 3323}",2,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_5000000/sweep_interval_5000000__npb_sp__REF__rep02
30.294830068247293,1.767525396573512,npb_sp,3339,3440,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 100, ""ok"": 3339}",3,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_5000000/sweep_interval_5000000__npb_sp__REF__rep03
