family,k,rep,cell_balanced_acc
rajaperf_lcals,21,0,0.690559633027523
rajaperf_lcals,21,1,0.6686697247706422
rajaperf_lcals,21,2,0.618711009174312
rajaperf_lcals,23,0,0.6007660550458715
rajaperf_lcals,23,1,0.6165596330275229
rajaperf_lcals,23,2,0.6818211009174312
rajaperf_polybench,3,0,0.8785000000000001
rajaperf_polybench,3,1,0.878
rajaperf_polybench,3,2,0.827
rajaperf_polybench,6,0,0.863
rajaperf_polybench,6,1,0.8785000000000001
rajaperf_polybench,6,2,0.5525
rajaperf_polybench,9,0,0.878
rajaperf_polybench,9,1,0.8714999999999999
rajaperf_polybench,9,2,0.884
rajaperf_polybench,12,0,0.8645
rajaperf_polybench,12,1,0.878
rajaperf_polybench,12,2,0.5925
rajaperf_polybench,15,0,0.8825000000000001
rajaperf_polybench,15,1,0.849
rajaperf_polybench,15,2,0.7775
rajaperf_polybench,18,0,0.8785000000000001
rajaperf_polybench,18,1,0.8705
rajaperf_polybench,18,2,0.883
rajaperf_polybench,21,0,0.869
rajaperf_polybench,21,1,0.8105
rajaperf_polybench,21,2,0.8585
rajaperf_polybench,23,0,0.8645
rajaperf_polybench,23,1,0.8775
rajaperf_polybench,23,2,0.8755
rajaperf_stream,3,0,0.5
rajaperf_stream,3,1,0.4985
rajaperf_stream,3,2,0.5
rajaperf_stream,6,0,0.5
rajaperf_stream,6,1,0.5222142857142857
rajaperf_stream,6,2,0.5
rajaperf_stream,9,0,0.7144285714285714
rajaperf_stream,9,1,0.5
rajaperf_stream,9,2,0.5
rajaperf_stream,12,0,0.7111428571428571
rajaperf_stream,12,1,0.7012857142857143
rajaperf_stream,12,2,0.5
rajaperf_stream,15,0,0.7564285714285715
rajaperf_stream,15,1,0.5
rajaperf_stream,15,2,0.6585000000000001
rajaperf_stream,18,0,0.7242857142857143
rajaperf_stream,18,1,0.6809285714285714
rajaperf_stream,18,2,0.6972142857142857
rajaperf_stream,21,0,0.6362142857142856
rajaperf_stream,21,1,0.6609285714285714
rajaperf_stream,21,2,0.5
rajaperf_stream,23,0,0.716
rajaperf_stream,23,1,0.6397857142857143
rajaperf_stream,23,2,0.7333571428571428
rodinia_lavamd,3,0,0.4995
rodinia_lavamd,3,1,0.5061666666666667
rodinia_lavamd,3,2,0.5
rodinia_lavamd,6,0,0.4695
rodinia_lavamd,6,1,0.4945
rodinia_lavamd,6,2,0.5
rodinia_lavamd,9,0,0.5305
rodinia_lavamd,9,1,0.4995
rodinia_lavamd,9,2,0.45316666666666666
rodinia_lavamd,12,0,0.4558333333333333
rodinia_lavamd,12,1,0.4875
rodinia_lavamd,12,2,0.4865
rodinia_lavamd,15,0,0.497
rodinia_lavamd,15,1,0.498
rodinia_lavamd,15,2,0.41433333333333333
rodinia_lavamd,18,0,0.40066666666666667
rodinia_lavamd,18,1,0.5
rodinia_lavamd,18,2,0.4995
rodinia_lavamd,21,0,0.494
rodinia_lavamd,21,1,0.4975
rodinia_lavamd,21,2,0.4955
rodinia_lavamd,23,0,0.497
rodinia_lavamd,23,1,0.5848333333333333
rodinia_lavamd,23,2,0.4995
